name,points_per_game,assists_per_game,rebounds_per_game,blocks_per_game,turnovers_per_game
Ivica Zubac,15.381818181818181,2.5090909090909093,12.581818181818182,1.1818181818181819,1.690909090909091
Collin Sexton,18.347826086956523,4.108695652173913,2.891304347826087,0.08695652173913043,2.5217391304347827
Lauri Markkanen,19.302325581395348,1.558139534883721,6.1395348837209305,0.37209302325581395,1.372093023255814
Desmond Bane,17.956521739130434,5.391304347826087,5.804347826086956,0.43478260869565216,2.5434782608695654
OG Anunoby,16.019607843137255,1.9803921568627452,4.568627450980392,0.8431372549019608,1.3137254901960784
Deni Avdija,14.818181818181818,3.4909090909090907,6.381818181818182,0.509090909090909,2.418181818181818
Cameron Johnson,19.095238095238095,2.880952380952381,4.119047619047619,0.5,1.6428571428571428
Josh Hart,14.814814814814815,5.777777777777778,9.666666666666666,0.35185185185185186,1.962962962962963
Keyonte George,16.893617021276597,5.9361702127659575,3.74468085106383,0.1702127659574468,2.851063829787234
Kelly Oubre Jr.,14.61111111111111,1.7777777777777777,6.407407407407407,0.48148148148148145,1.3148148148148149
Payton Pritchard,13.892857142857142,3.5,3.7857142857142856,0.19642857142857142,0.9821428571428571
Jarrett Allen,13.578947368421053,1.9649122807017543,10.368421052631579,0.9298245614035088,1.1929824561403508
Tobias Harris,13.732142857142858,2.25,5.875,0.7857142857142857,1.125
De'Andre Hunter,18.972972972972972,1.5405405405405406,3.918918918918919,0.13513513513513514,1.5945945945945945
De'Andre Hunter,13.4,0.8,3.6,0.2,1.0
Amen Thompson,13.907407407407407,3.462962962962963,8.12962962962963,1.2777777777777777,2.0925925925925926
Myles Turner,15.326530612244898,1.5918367346938775,6.530612244897959,1.8775510204081634,1.8979591836734695
Gradey Dick,14.8,1.84,3.46,0.2,1.58
Dyson Daniels,13.924528301886792,3.981132075471698,5.6415094339622645,0.7735849056603774,1.830188679245283
Dennis Schröder,18.434782608695652,6.608695652173913,2.9565217391304346,0.17391304347826086,2.5652173913043477
Dennis Schröder,10.583333333333334,4.375,2.3333333333333335,0.125,2.0
Dennis Schröder,8.166666666666666,4.166666666666667,1.8333333333333333,0.16666666666666666,1.1666666666666667
Dillon Brooks,13.37037037037037,1.6111111111111112,3.888888888888889,0.2222222222222222,1.0
Ja Morant,20.514285714285716,7.4,4.085714285714285,0.3142857142857143,3.8285714285714287
Bradley Beal,17.9,3.45,3.6,0.575,2.0
Jaden McDaniels,11.983050847457626,1.847457627118644,5.779661016949152,0.864406779661017,1.1694915254237288
Josh Giddey,12.88888888888889,6.407407407407407,7.444444444444445,0.6481481481481481,2.740740740740741
Luka Dončić,28.136363636363637,7.818181818181818,8.318181818181818,0.4090909090909091,3.409090909090909
Luka Dončić,19.0,5.75,7.5,0.5,3.25
Klay Thompson,13.76,2.02,3.46,0.46,1.36
