start_time,away_team,home_team,away_team_score,home_team_score
2024-12-31 20:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.INDIANA_PACERS,120.0,112.0
2025-01-01 00:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.SAN_ANTONIO_SPURS,86.0,122.0
2025-01-01 01:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.OKLAHOMA_CITY_THUNDER,105.0,113.0
2025-01-01 02:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.LOS_ANGELES_LAKERS,122.0,110.0
2025-01-01 02:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.PHOENIX_SUNS,117.0,112.0
2025-01-02 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.DETROIT_PISTONS,96.0,105.0
2025-01-02 00:00:00+00:00,Team.CHICAGO_BULLS,Team.WASHINGTON_WIZARDS,107.0,125.0
2025-01-02 00:30:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.MIAMI_HEAT,108.0,119.0
2025-01-02 00:30:00+00:00,Team.UTAH_JAZZ,Team.NEW_YORK_KNICKS,103.0,119.0
2025-01-02 00:30:00+00:00,Team.BROOKLYN_NETS,Team.TORONTO_RAPTORS,113.0,130.0
2025-01-02 01:00:00+00:00,Team.DALLAS_MAVERICKS,Team.HOUSTON_ROCKETS,99.0,110.0
2025-01-02 02:00:00+00:00,Team.ATLANTA_HAWKS,Team.DENVER_NUGGETS,120.0,139.0
2025-01-02 03:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.SACRAMENTO_KINGS,107.0,113.0
2025-01-03 00:30:00+00:00,Team.INDIANA_PACERS,Team.MIAMI_HEAT,128.0,115.0
2025-01-03 00:30:00+00:00,Team.BOSTON_CELTICS,Team.MINNESOTA_TIMBERWOLVES,118.0,115.0
2025-01-03 01:00:00+00:00,Team.BROOKLYN_NETS,Team.MILWAUKEE_BUCKS,113.0,110.0
2025-01-03 01:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.OKLAHOMA_CITY_THUNDER,98.0,116.0
2025-01-03 03:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.GOLDEN_STATE_WARRIORS,105.0,139.0
2025-01-03 03:30:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.LOS_ANGELES_LAKERS,106.0,114.0
2025-01-04 00:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.DETROIT_PISTONS,94.0,98.0
2025-01-04 00:30:00+00:00,Team.ORLANDO_MAGIC,Team.TORONTO_RAPTORS,106.0,97.0
2025-01-04 01:00:00+00:00,Team.BOSTON_CELTICS,Team.HOUSTON_ROCKETS,109.0,86.0
2025-01-04 01:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.NEW_ORLEANS_PELICANS,120.0,132.0
2025-01-04 01:00:00+00:00,Team.NEW_YORK_KNICKS,Team.OKLAHOMA_CITY_THUNDER,107.0,117.0
2025-01-04 01:30:00+00:00,Team.CLEVELAND_CAVALIERS,Team.DALLAS_MAVERICKS,134.0,122.0
2025-01-04 02:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.DENVER_NUGGETS,113.0,110.0
2025-01-04 03:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.SACRAMENTO_KINGS,133.0,138.0
2025-01-04 03:30:00+00:00,Team.ATLANTA_HAWKS,Team.LOS_ANGELES_LAKERS,102.0,119.0
2025-01-04 23:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.BROOKLYN_NETS,123.0,94.0
